title,stars_in_movie,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross,production_budget
Instant Family,,82.0,83.0,,0,0,,,119736188.0,"$48,000,000"
Creed II,,83.0,80.0,,0,0,,,213591522.0,"$50,000,000"
Roma,,96.0,72.0,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Won)
Oscars - DIRECTING(Won)
Oscars - FOREIGN LANGUAGE FILM(Won)
Oscars - BEST PICTURE(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - SOUND EDITING(Nominated)
Oscars - SOUND MIXING(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)
BAFTAs - Film | Best Film in 2019(Won)
BAFTAs - Film | Cinematography in 2019(Won)
BAFTAs - Film | Director in 2019(Won)
BAFTAs - Film | Editing in 2019(Nominated)
BAFTAs - Film | Film Not in the English Language in 2019(Won)
BAFTAs - Film | Original Screenplay in 2019(Nominated)
BAFTAs - Film | Production Design in 2019(Nominated)
Golden Globes - Best Director - Motion Picture(Won)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",19,8,"Oscars - CINEMATOGRAPHY(Won)
Oscars - DIRECTING(Won)
Oscars - FOREIGN LANGUAGE FILM(Won)
BAFTAs - Film | Best Film in 2019(Won)
BAFTAs - Film | Cinematography in 2019(Won)
BAFTAs - Film | Director in 2019(Won)
BAFTAs - Film | Film Not in the English Language in 2019(Won)
Golden Globes - Best Director - Motion Picture(Won)","Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - SOUND EDITING(Nominated)
Oscars - SOUND MIXING(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)
BAFTAs - Film | Editing in 2019(Nominated)
BAFTAs - Film | Original Screenplay in 2019(Nominated)
BAFTAs - Film | Production Design in 2019(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",,"$15,000,000"
The Favourite,,93.0,70.0,"Oscars - ACTRESS IN A LEADING ROLE(Won)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)
BAFTAs - Film | Best Film in 2019(Nominated)
BAFTAs - Film | Cinematography in 2019(Nominated)
BAFTAs - Film | Costume Design in 2019(Won)
BAFTAs - Film | Director in 2019(Nominated)
BAFTAs - Film | Editing in 2019(Nominated)
BAFTAs - Film | Make Up and Hair in 2019(Won)
BAFTAs - Film | Original Screenplay in 2019(Won)
BAFTAs - Film | Outstanding British Film in 2019(Won)
BAFTAs - Film | Production Design in 2019(Won)",19,6,"Oscars - ACTRESS IN A LEADING ROLE(Won)
BAFTAs - Film | Costume Design in 2019(Won)
BAFTAs - Film | Make Up and Hair in 2019(Won)
BAFTAs - Film | Original Screenplay in 2019(Won)
BAFTAs - Film | Outstanding British Film in 2019(Won)
BAFTAs - Film | Production Design in 2019(Won)","Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)
BAFTAs - Film | Best Film in 2019(Nominated)
BAFTAs - Film | Cinematography in 2019(Nominated)
BAFTAs - Film | Director in 2019(Nominated)
BAFTAs - Film | Editing in 2019(Nominated)",95829459.0,"$15,000,000"
The Possession of Hannah Grace,,21.0,28.0,,0,0,,,42873730.0,"$6,000,000"
Mortal Engines,,26.0,48.0,,0,0,,,85481904.0,"$100,000,000"
If Beale Street Could Talk,,95.0,68.0,"Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - WRITING (Adapted Screenplay)(Nominated)
BAFTAs - Film | Adapted Screenplay in 2019(Nominated)
BAFTAs - Film | Original Music in 2019(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",8,2,"Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)","Oscars - MUSIC (Original Score)(Nominated)
Oscars - WRITING (Adapted Screenplay)(Nominated)
BAFTAs - Film | Adapted Screenplay in 2019(Nominated)
BAFTAs - Film | Original Music in 2019(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",21398371.0,"$12,000,000"
Mary Poppins Returns,,79.0,64.0,"Oscars - COSTUME DESIGN(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
BAFTAs - Film | Costume Design in 2019(Nominated)
BAFTAs - Film | Original Music in 2019(Nominated)
BAFTAs - Film | Production Design in 2019(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",11,0,,"Oscars - COSTUME DESIGN(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
BAFTAs - Film | Costume Design in 2019(Nominated)
BAFTAs - Film | Original Music in 2019(Nominated)
BAFTAs - Film | Production Design in 2019(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",345606500.0,"$130,000,000"
Bumblebee,,90.0,75.0,,0,0,,,464731819.0,"$102,000,000"
Welcome to Marwen,,34.0,48.0,,0,0,,,,"$45,000,000"
Holmes & Watson,,10.0,25.0,,0,0,,,41926605.0,"$42,000,000"
On the Basis of Sex,,72.0,76.0,,0,0,,,38780888.0,"$20,000,000"
Destroyer,,74.0,50.0,Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated),,"$9,000,000"
Avengers: Endgame,,94.0,90.0,"Oscars - VISUAL EFFECTS(Nominated)
BAFTAs - Film | Special Visual Effects in 2020(Nominated)",2,0,,"Oscars - VISUAL EFFECTS(Nominated)
BAFTAs - Film | Special Visual Effects in 2020(Nominated)",2717503922.0,"$400,000,000"
Star Wars: The Rise of Skywalker,,51.0,86.0,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - SOUND EDITING(Nominated)
Oscars - VISUAL EFFECTS(Nominated)",3,0,,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - SOUND EDITING(Nominated)
Oscars - VISUAL EFFECTS(Nominated)",1069951814.0,"$275,000,000"
Frozen II,,77.0,92.0,"Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Motion Picture - Animated(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",3,0,,"Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Motion Picture - Animated(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",1451653316.0,"$150,000,000"
Toy Story 4,,97.0,94.0,"Oscars - ANIMATED FEATURE FILM(Won)
Oscars - MUSIC (Original Song)(Nominated)
BAFTAs - Film | Animated Film in 2020(Nominated)
Golden Globes - Best Motion Picture - Animated(Nominated)",4,1,Oscars - ANIMATED FEATURE FILM(Won),"Oscars - MUSIC (Original Song)(Nominated)
BAFTAs - Film | Animated Film in 2020(Nominated)
Golden Globes - Best Motion Picture - Animated(Nominated)",1071177215.0,"$200,000,000"
Captain Marvel,,79.0,45.0,,0,0,,,1129576094.0,"$175,000,000"
Jumanji: The Next Level,,72.0,87.0,,0,0,,,792472668.0,"$125,000,000"
The Upside,,43.0,82.0,,0,0,,,125818440.0,"$37,500,000"
The Kid Who Would Be King,,90.0,55.0,,0,0,,,28296983.0,"$59,000,000"
Miss Bala,,88.0,63.0,,0,0,,,,"$15,000,000"
Velvet Buzzsaw,,61.0,36.0,,0,0,,,,"$21,000,000"
The LEGO Movie 2: The Second Part,,84.0,68.0,,0,0,,,192306508.0,"$99,000,000"
Cold Pursuit,,68.0,49.0,,0,0,,,62599159.0,"$60,000,000"
High Flying Bird,,91.0,50.0,,0,0,,,,"$2,000,000"
Happy Death Day 2U,,71.0,60.0,,0,0,,,64686515.0,"$9,000,000"
Alita: Battle Angel,,61.0,91.0,,0,0,,,401900040.0,"$170,000,000"
How to Train Your Dragon: The Hidden World,,90.0,87.0,"Oscars - ANIMATED FEATURE FILM(Nominated)
Golden Globes - Best Motion Picture - Animated(Nominated)",2,0,,"Oscars - ANIMATED FEATURE FILM(Nominated)
Golden Globes - Best Motion Picture - Animated(Nominated)",,"$129,000,000"
Fighting With My Family,,93.0,86.0,,0,0,,,41503088.0,"$11,000,000"
Triple Frontier,,70.0,58.0,,0,0,,,,"$115,000,000"
Wonder Park,,34.0,43.0,,0,0,,,115103325.0,"$100,000,000"
Captive State,,42.0,39.0,,0,0,,,,"$25,000,000"
Five Feet Apart,,53.0,79.0,,0,0,,,92554209.0,"$7,000,000"
Hotel Mumbai,,76.0,88.0,,0,0,,,21132855.0,"$17,300,000"
The Beach Bum,,58.0,42.0,,0,0,,,,"$5,000,000"
Unplanned,,42.0,94.0,,0,0,,,21413603.0,"$6,000,000"
Shazam!,,90.0,82.0,,0,0,,,363563907.0,"$85,000,000"
Her Smell,,84.0,44.0,,0,0,,,,"$2,500,000"
Long Shot,,88.0,84.0,,0,0,,,53624424.0,"$40,000,000"
UglyDolls,,29.0,54.0,,0,0,,,32630599.0,"$45,000,000"
Tolkien,,51.0,71.0,,0,0,,,,"$20,000,000"
Poms,,36.0,73.0,,0,0,,,17901314.0,"$10,000,000"
The Professor and the Madman,,39.0,79.0,,0,0,,,,"$25,000,000"
Booksmart,,96.0,77.0,"BAFTAs - Film | Original Screenplay in 2020(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)",2,0,,"BAFTAs - Film | Original Screenplay in 2020(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)",24948141.0,"$6,000,000"
Dark Phoenix,,22.0,64.0,,0,0,,,246356895.0,"$200,000,000"
The Secret Life of Pets 2,,60.0,90.0,,0,0,,,446449908.0,"$80,000,000"
The Last Black Man in San Francisco,,93.0,84.0,,0,0,,,,"$3,000,000"
Men in Black: International,,23.0,66.0,,0,0,,,254310003.0,"$110,000,000"
Annabelle Comes Home,,64.0,70.0,,0,0,,,231252591.0,"$27,000,000"
Midsommar,,83.0,63.0,,0,0,,,46713431.0,"$9,000,000"
Stuber,,42.0,79.0,,0,0,,,29634023.0,"$16,000,000"
Crawl,,63.0,63.0,,0,0,,,91720490.0,"$17,000,000"
Point Blank,,91.0,77.0,,0,0,,,,"$3,000,000"
Fast & Furious Presents: Hobbs & Shaw,,67.0,88.0,,0,0,,,760732926.0,"$200,000,000"
Dora and the Lost City of Gold,,85.0,88.0,,0,0,,,120592276.0,"$49,000,000"
The Kitchen,,24.0,69.0,,0,0,,,,"$38,000,000"
The Art of Racing in the Rain,,45.0,96.0,,0,0,,,33773963.0,"$18,000,000"
Scary Stories to Tell in the Dark,,78.0,72.0,,0,0,,,104793708.0,"$28,000,000"
The Peanut Butter Falcon,,95.0,96.0,,0,0,,,23191551.0,"$6,200,000"
The Angry Birds Movie 2,,72.0,84.0,,0,0,,,152255188.0,"$65,000,000"
Blinded by the Light,,89.0,91.0,,0,0,,,19529914.0,"$15,000,000"
47 Meters Down: Uncaged,,44.0,68.0,,0,0,,,47582563.0,"$12,000,000"
Angel Has Fallen,,38.0,93.0,,0,0,,,133345583.0,"$40,000,000"
Overcomer,,56.0,98.0,,0,0,,,38093564.0,"$5,000,000"
It: Chapter Two,,62.0,78.0,,0,0,,,467561586.0,"$70,000,000"
The Goldfinch,,25.0,72.0,,0,0,,,,"$40,000,000"
Monos,,93.0,85.0,,0,0,,,,"$2,000,000"
Ad Astra,,83.0,40.0,Oscars - SOUND MIXING(Nominated),1,0,,Oscars - SOUND MIXING(Nominated),135154826.0,"$80,000,000"
Rambo: Last Blood,,26.0,81.0,,0,0,,,91378886.0,"$50,000,000"
Abominable,,82.0,95.0,,0,0,,,188668889.0,"$75,000,000"
Lucy in the Sky,,21.0,31.0,,0,0,,,,"$27,000,000"
Jexi,,21.0,71.0,,0,0,,,,"$5,000,000"
Maleficent: Mistress of Evil,,39.0,95.0,Oscars - MAKEUP AND HAIRSTYLING(Nominated),1,0,,Oscars - MAKEUP AND HAIRSTYLING(Nominated),489181357.0,"$185,000,000"
Zombieland: Double Tap,,68.0,88.0,,0,0,,,125213018.0,"$48,000,000"
Jojo Rabbit,,80.0,94.0,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - WRITING (Adapted Screenplay)(Won)
BAFTAs - Film | Adapted Screenplay in 2020(Won)
BAFTAs - Film | Costume Design in 2020(Nominated)
BAFTAs - Film | Editing in 2020(Nominated)
BAFTAs - Film | Original Score in 2020(Nominated)
BAFTAs - Film | Production Design in 2020(Nominated)
BAFTAs - Film | Supporting Actress in 2020(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)",14,2,"Oscars - WRITING (Adapted Screenplay)(Won)
BAFTAs - Film | Adapted Screenplay in 2020(Won)","Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
BAFTAs - Film | Costume Design in 2020(Nominated)
BAFTAs - Film | Editing in 2020(Nominated)
BAFTAs - Film | Original Score in 2020(Nominated)
BAFTAs - Film | Production Design in 2020(Nominated)
BAFTAs - Film | Supporting Actress in 2020(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)",86878073.0,"$14,000,000"
Terminator: Dark Fate,,70.0,82.0,,0,0,,,250367666.0,"$185,000,000"
Motherless Brooklyn,,64.0,80.0,Golden Globes - Best Original Score - Motion Picture(Nominated),1,0,,Golden Globes - Best Original Score - Motion Picture(Nominated),18577736.0,"$26,000,000"
The Irishman,,95.0,86.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - VISUAL EFFECTS(Nominated)
Oscars - WRITING (Adapted Screenplay)(Nominated)
BAFTAs - Film | Adapted Screenplay in 2020(Nominated)
BAFTAs - Film | Best Film in 2020(Nominated)
BAFTAs - Film | Cinematography in 2020(Nominated)
BAFTAs - Film | Costume Design in 2020(Nominated)
BAFTAs - Film | Director in 2020(Nominated)
BAFTAs - Film | Editing in 2020(Nominated)
BAFTAs - Film | Production Design in 2020(Nominated)
BAFTAs - Film | Special Visual Effects in 2020(Nominated)",18,0,,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - VISUAL EFFECTS(Nominated)
Oscars - WRITING (Adapted Screenplay)(Nominated)
BAFTAs - Film | Adapted Screenplay in 2020(Nominated)
BAFTAs - Film | Best Film in 2020(Nominated)
BAFTAs - Film | Cinematography in 2020(Nominated)
BAFTAs - Film | Costume Design in 2020(Nominated)
BAFTAs - Film | Director in 2020(Nominated)
BAFTAs - Film | Editing in 2020(Nominated)
BAFTAs - Film | Production Design in 2020(Nominated)
BAFTAs - Film | Special Visual Effects in 2020(Nominated)",,"$159,000,000"
Harriet,,74.0,97.0,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",4,0,,"Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",44035587.0,"$17,000,000"
Arctic Dogs,,12.0,60.0,,0,0,,,,"$50,000,000"
Doctor Sleep,,78.0,89.0,,0,0,,,72381712.0,"$45,000,000"
Klaus,,95.0,96.0,"Oscars - ANIMATED FEATURE FILM(Nominated)
BAFTAs - Film | Animated Film in 2020(Won)",2,1,BAFTAs - Film | Animated Film in 2020(Won),Oscars - ANIMATED FEATURE FILM(Nominated),,"$40,000,000"
Honey Boy,,95.0,92.0,,0,0,,,,"$3,500,000"
The Good Liar,,64.0,85.0,,0,0,,,33856058.0,"$10,000,000"
A Beautiful Day in the Neighborhood,,95.0,92.0,Oscars - ACTOR IN A SUPPORTING ROLE(Nominated),1,0,,Oscars - ACTOR IN A SUPPORTING ROLE(Nominated),68590003.0,"$45,000,000"
21 Bridges,,54.0,91.0,,0,0,,,42657631.0,"$33,000,000"
Knives Out,,97.0,92.0,"Oscars - WRITING (Original Screenplay)(Nominated)
BAFTAs - Film | Original Screenplay in 2020(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)",5,0,,"Oscars - WRITING (Original Screenplay)(Nominated)
BAFTAs - Film | Original Screenplay in 2020(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)",312898746.0,"$40,000,000"
Queen & Slim,,82.0,92.0,,0,0,,,48266163.0,"$20,000,000"
The Aeronauts,,72.0,95.0,,0,0,,,,"$80,000,000"
Richard Jewell,,77.0,96.0,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",2,0,,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",44645542.0,"$45,000,000"
6 Underground,,36.0,60.0,,0,0,,,,"$150,000,000"
Seberg,,35.0,51.0,,0,0,,,,"$8,000,000"
Spies in Disguise,,77.0,92.0,,0,0,,,165124093.0,"$100,000,000"
Just Mercy,,85.0,99.0,,0,0,,,50901502.0,"$25,000,000"
Dolittle,,15.0,76.0,,0,0,,,251509294.0,"$175,000,000"
Onward,,88.0,95.0,Oscars - ANIMATED FEATURE FILM(Nominated),1,0,,Oscars - ANIMATED FEATURE FILM(Nominated),133357601.0,"$200,000,000"
The Croods: A New Age,,77.0,94.0,,0,0,,,214766238.0,"$65,000,000"
Tenet,,69.0,76.0,"Oscars - PRODUCTION DESIGN(Nominated)
Oscars - VISUAL EFFECTS(Won)",2,1,Oscars - VISUAL EFFECTS(Won),Oscars - PRODUCTION DESIGN(Nominated),366273550.0,"$205,000,000"
Wonder Woman 1984,,57.0,73.0,,0,0,,,169601036.0,"$200,000,000"
Like a Boss,,22.0,65.0,,0,0,,,26563888.0,"$29,000,000"
The Gentlemen,,75.0,84.0,,0,0,,,113152222.0,"$22,000,000"
The Turning,,86.0,54.0,,0,0,,,18460739.0,"$12,000,000"
The Last Full Measure,,61.0,96.0,,0,0,,,,"$20,000,000"
The Rhythm Section,,29.0,44.0,,0,0,,,,"$50,000,000"
Gretel & Hansel,,62.0,23.0,,0,0,,,22052456.0,"$5,000,000"
Timmy Failure: Mistakes Were Made,,85.0,60.0,,0,0,,,,"$40,000,000"
Brahms: The Boy II,,11.0,44.0,,0,0,,,18968326.0,"$10,000,000"
Impractical Jokers: The Movie,,35.0,76.0,,0,0,,,,"$3,000,000"
The Way Back,,74.0,72.0,Oscars - MAKEUP(Nominated),1,0,,Oscars - MAKEUP(Nominated),26524989.0,"$23,000,000"
I Still Believe,,49.0,98.0,,0,0,,,,"$12,000,000"
Artemis Fowl,,8.0,20.0,,0,0,,,,"$100,000,000"
The King of Staten Island,,76.0,83.0,,0,0,,,,"$35,000,000"
7500,,71.0,61.0,,0,0,,,,"$5,000,000"
My Spy,,48.0,39.0,,0,0,,,,"$18,000,000"
The Old Guard,,80.0,70.0,,0,0,,,,"$70,000,000"
Greyhound,,78.0,76.0,Oscars - SOUND(Nominated),1,0,,Oscars - SOUND(Nominated),,"$50,300,000"
Animal Crackers,,97.0,89.0,,0,0,,,,"$17,000,000"
The Secret: Dare to Dream,,28.0,72.0,,0,0,,,,"$9,400,000"
The Tax Collector,,18.0,72.0,,0,0,,,,"$30,000,000"
Project Power,,61.0,46.0,,0,0,,,,"$85,100,000"
The SpongeBob Movie: Sponge on the Run,,66.0,49.0,,0,0,,,,"$60,000,000"
Cut Throat City,,70.0,39.0,,0,0,,,,"$8,000,000"
Words on Bathroom Walls,,89.0,94.0,,0,0,,,,"$9,300,000"
Bill & Ted Face the Music,,82.0,65.0,,0,0,,,,"$25,000,000"
The New Mutants,,36.0,56.0,,0,0,,,47535251.0,"$67,000,000"
The Personal History of David Copperfield,,92.0,54.0,,0,0,,,,"$15,600,000"
The Trial of the Chicago 7,,89.0,90.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)",6,0,,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)",,"$35,000,000"
Love and Monsters,,94.0,89.0,Oscars - VISUAL EFFECTS(Nominated),1,0,,Oscars - VISUAL EFFECTS(Nominated),,"$30,000,000"
Honest Thief,,41.0,87.0,,0,0,,,32609631.0,"$30,000,000"
Come Play,,56.0,67.0,,0,0,,,,"$9,000,000"
Hillbilly Elegy,,25.0,81.0,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - MAKEUP AND HAIRSTYLING(Nominated)",2,0,,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - MAKEUP AND HAIRSTYLING(Nominated)",,"$45,000,000"
Freaky,,83.0,80.0,,0,0,,,18073433.0,"$6,000,000"
Sound of Metal,,97.0,90.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - FILM EDITING(Won)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Won)
Oscars - WRITING (Original Screenplay)(Nominated)",6,2,"Oscars - FILM EDITING(Won)
Oscars - SOUND(Won)","Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)",,"$5,400,000"
The Midnight Sky,,49.0,26.0,Oscars - VISUAL EFFECTS(Nominated),1,0,,Oscars - VISUAL EFFECTS(Nominated),,"$100,000,000"
Monster Hunter,,44.0,70.0,,0,0,,,47853893.0,"$60,000,000"
Greenland,,78.0,63.0,,0,0,,,40629075.0,"$34,000,000"
Soul,,95.0,88.0,"Oscars - ANIMATED FEATURE FILM(Won)
Oscars - MUSIC (Original Score)(Won)
Oscars - SOUND(Nominated)",3,2,"Oscars - ANIMATED FEATURE FILM(Won)
Oscars - MUSIC (Original Score)(Won)",Oscars - SOUND(Nominated),120068830.0,"$200,000,000"
News of the World,,88.0,89.0,"Oscars - CINEMATOGRAPHY(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - SOUND(Nominated)",4,0,,"Oscars - CINEMATOGRAPHY(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - SOUND(Nominated)",,"$38,000,000"
One Night in Miami,,98.0,78.0,,0,0,,,,"$16,937,665"
Eternals,,47.0,77.0,,0,0,,,401731759.0,"$200,000,000"
Sing 2,,72.0,98.0,,0,0,,,404534588.0,"$85,000,000"
Ghostbusters: Afterlife,,63.0,94.0,,0,0,,,202991088.0,"$75,000,000"
Our Friend,,86.0,95.0,,0,0,,,,"$10,000,000"
Nomadland,,93.0,82.0,"Oscars - ACTRESS IN A LEADING ROLE(Won)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - DIRECTING(Won)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Won)
Oscars - WRITING (Adapted Screenplay)(Nominated)",6,3,"Oscars - ACTRESS IN A LEADING ROLE(Won)
Oscars - DIRECTING(Won)
Oscars - BEST PICTURE(Won)","Oscars - CINEMATOGRAPHY(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - WRITING (Adapted Screenplay)(Nominated)",38728987.0,"$5,000,000"
Malcolm & Marie,,57.0,67.0,,0,0,,,,"$2,500,000"
Palmer,,72.0,88.0,,0,0,,,,"$6,713,933"
Judas and the Black Messiah,,96.0,95.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - MUSIC (Original Song)(Won)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)",6,2,"Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Oscars - MUSIC (Original Song)(Won)","Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)",,"$26,000,000"
