title,genres,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
father stu,"Biography,Drama",43%,95%,,0,0,,,"$21,989,422"
great directors,Documentary,66%,43%,,0,0,,,
the son,Drama,29%,59%,,0,0,,,
rise of the guardians,"Action,Adventure,Animation",74%,80%,Golden Globes - Best Motion Picture - Animated (Nominated),1,0,,Golden Globes - Best Motion Picture - Animated (Nominated),"$306,941,670"
deliver us,Horror,83%,,,0,0,,,
paint,"Comedy,Drama",83%,87%,BAFTAs - Film | Specialised Film in 1968 (Nominated),1,0,,BAFTAs - Film | Specialised Film in 1968 (Nominated),
shortcomings,"Comedy,Drama,Romance",,,,0,0,,,
killer elite,"Action,Crime,Thriller",28%,42%,,0,0,,,"$65,409,046"
winnie the pooh,"Adventure,Animation,Comedy",,,,0,0,,,"$50,145,607"
no one will save you,"Horror,Mystery,Sci-Fi",82%,56%,,0,0,,,
roadrunner: a film about anthony bourdain,Documentary,91%,94%,,0,0,,,
infinite,,17%,34%,,0,0,,,
monsters university,"Adventure,Animation,Comedy",80%,81%,,0,0,,,"$743,455,810"
the help,Drama,76%,89%,"Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Won)
Oscars - BEST PICTURE (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)",9,2,"Oscars - ACTRESS IN A SUPPORTING ROLE (Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Won)","Oscars - ACTRESS IN A LEADING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - BEST PICTURE (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)","$213,120,004"
national champions,"Drama,Sport",66%,79%,,0,0,,,
the boy,"Drama,Sci-Fi",31%,38%,,0,0,,,"$68,220,952"
goon,"Comedy,Drama,Sport",81%,71%,,0,0,,,
fortress: sniper's eye,"Action,Thriller",0%,58%,,0,0,,,
the haunting in connecticut 2: ghosts of georgia,"Drama,Horror,Mystery",19%,44%,,0,0,,,
the conjuring,"Horror,Mystery,Thriller",86%,83%,,0,0,,,"$316,143,649"
god's not dead: we the people,Drama,,100%,,0,0,,,
the next three days,"Action,Crime,Drama",50%,66%,,0,0,,,"$67,255,916"
hunting party,"Action,Horror,Sci-Fi",,,,0,0,,,
almighty zeus,Action,,,,0,0,,,
down low,Comedy,67%,,,0,0,,,
spin me round,"Comedy,Romance",47%,33%,,0,0,,,
surviving progress,Documentary,71%,79%,,0,0,,,
letters to god,Drama,25%,75%,,0,0,,,
butcher's crossing,"Adventure,Drama,Western",74%,47%,,0,0,,,
indiana jones and the dial of destiny,"Action,Adventure,Sci-Fi",70%,88%,Oscars - MUSIC (Original Score) (Nominated),1,0,,Oscars - MUSIC (Original Score) (Nominated),"$383,963,057"
the odd life of timothy green,"Comedy,Drama,Family",36%,67%,,0,0,,,"$55,249,159"
all is bright,"Comedy,Drama",48%,23%,,0,0,,,
desperation road,"Crime,Drama,Thriller",60%,77%,,0,0,,,
the venture bros.: radiant is the blood of the baboon heart,Animation,92%,,,0,0,,,
aqua teen forever: plantasm,"Animation,Comedy",100%,76%,,0,0,,,
"big mommas: like father, like son","Action,Comedy,Crime",5%,58%,,0,0,,,"$82,332,450"
enola holmes 2,"Action,Adventure,Crime",93%,79%,,0,0,,,
decoding annie parker,Drama,56%,42%,,0,0,,,
i am number four,"Action,Adventure,Sci-Fi",33%,57%,,0,0,,,
cat person,"Comedy,Drama,Mystery",46%,46%,,0,0,,,
traffik,Thriller,,80%,,0,0,,,
"lyle, lyle, crocodile","Adventure,Comedy,Family",71%,93%,,0,0,,,"$107,192,068"
burning,Documentary,,,,0,0,,,
ride the eagle,"Comedy,Drama",84%,67%,,0,0,,,
cinema verite,Documentary,61%,60%,"Golden Globes - Best Television Limited Series or Motion Picture Made for Television (Nominated)
Golden Globes - Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television (Nominated)",3,0,,"Golden Globes - Best Television Limited Series or Motion Picture Made for Television (Nominated)
Golden Globes - Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television (Nominated)",
better nate than ever,"Comedy,Drama,Family",83%,75%,,0,0,,,
macgruber,"Action,Comedy",47%,35%,,0,0,,,
max steel,"Action,Adventure,Fantasy",0%,48%,,0,0,,,
the princess switch 3: romancing the star,"Comedy,Drama,Family",53%,41%,,0,0,,,
bridget jones's baby,"Comedy,Drama,Romance",78%,65%,,0,0,,,
roommate,"Drama,Thriller",,,,0,0,,,
show me the father,"Documentary,Drama",,97%,,0,0,,,
one true loves,"Comedy,Drama,Romance",29%,36%,,0,0,,,
aquaman,"Action,Adventure,Fantasy",65%,72%,,0,0,,,"$1,131,849,702"
cedar rapids,Comedy,86%,59%,,0,0,,,
hyde park on hudson,"Biography,Comedy,Drama",37%,31%,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated),
the art of racing in the rain,"Comedy,Drama,Romance",45%,96%,,0,0,,,"$33,773,963"
attack the block,"Action,Adventure,Comedy",91%,75%,,0,0,,,
killing season,"Action,Drama,Thriller",10%,29%,,0,0,,,
catfish,Comedy,80%,71%,,0,0,,,
manodrome,"Drama,Thriller",49%,27%,,0,0,,,
the munsters,"Comedy,Family,Fantasy",54%,35%,,0,0,,,
not okay,"Comedy,Drama,Thriller",71%,60%,,0,0,,,
you people,"Comedy,Romance",,,,0,0,,,
the retirement plan,"Action,Comedy,Crime",60%,41%,,0,0,,,
carbon nation,"Documentary,Family",40%,76%,,0,0,,,
i am love,"Drama,Family",81%,68%,Oscars - COSTUME DESIGN (Nominated),1,0,,Oscars - COSTUME DESIGN (Nominated),
8: the mormon proposition,Documentary,65%,72%,,0,0,,,
the holdovers,"Comedy,Drama",97%,92%,"Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Won)
Oscars - FILM EDITING (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - WRITING (Original Screenplay) (Nominated)",5,1,Oscars - ACTRESS IN A SUPPORTING ROLE (Won),"Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - WRITING (Original Screenplay) (Nominated)","$45,615,278"
the jesus music,Documentary,63%,97%,,0,0,,,
the greatest showman,"Biography,Drama,Musical",57%,86%,"Oscars - MUSIC (Original Song) (Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Original Song - Motion Picture (Won)",4,1,Golden Globes - Best Original Song - Motion Picture (Won),"Oscars - MUSIC (Original Song) (Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated)","$428,796,000"
tamara drewe,"Comedy,Drama,Romance",65%,42%,,0,0,,,
the orphanage,"Horror,Thriller",87%,86%,,0,0,,,
collaborator,Thriller,73%,61%,,0,0,,,
miranda's victim,"Crime,Drama",82%,91%,,0,0,,,
trash humpers,"Comedy,Drama,Horror",60%,44%,,0,0,,,
guillermo del toro's pinocchio,"Adventure,Animation,Drama",96%,90%,Oscars - ANIMATED FEATURE FILM (Won),1,1,Oscars - ANIMATED FEATURE FILM (Won),,
triple frontier,"Action,Thriller",70%,58%,,0,0,,,
dead for a dollar,"Action,Drama,Western",,,,0,0,,,
something in the dirt,"Comedy,Horror,Mystery",90%,47%,,0,0,,,
booksmart,Comedy,96%,77%,"BAFTAs - Film | Original Screenplay in 2020 (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated)",2,0,,"BAFTAs - Film | Original Screenplay in 2020 (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated)","$24,948,141"
central intelligence,"Action,Comedy,Crime",71%,62%,,0,0,,,"$217,194,805"
the lego movie,"Action,Adventure,Animation",96%,87%,,0,0,,,
the space between us,Drama,16%,55%,,0,0,,,
i saw the light,"Biography,Drama,Music",19%,37%,,0,0,,,
the iceman,"Biography,Crime,Drama",,,,0,0,,,
hide & seek,"Drama,Horror,Thriller",,0%,,0,0,,,
cassandro,"Biography,Drama,Sport",91%,74%,,0,0,,,
underworld: awakening,"Action,Fantasy,Thriller",25%,62%,,0,0,,,"$160,379,930"
the paperboy,"Crime,Drama,Mystery",,33%,,0,0,,,
cold weather,"Comedy,Drama,Mystery",77%,52%,,0,0,,,
consecration,"Horror,Thriller",41%,32%,,0,0,,,
horrible bosses,"Comedy,Crime",69%,70%,,0,0,,,"$212,417,601"
the disenchanted,"Crime,Drama",100%,42%,,0,0,,,
videocracy,Documentary,67%,39%,,0,0,,,
bad boys for life,"Action,Comedy,Crime",75%,96%,,0,0,,,
drive angry,"Action,Comedy,Fantasy",47%,37%,,0,0,,,"$41,042,583"
"hugh hefner: playboy, activist and rebel","Biography,Documentary",61%,69%,,0,0,,,
road to nowhere,"Crime,Mystery,Romance",,,,0,0,,,
the king's speech,"Biography,Drama,History",94%,92%,"Oscars - ACTOR IN A LEADING ROLE (Won)
Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - DIRECTING (Won)
Oscars - FILM EDITING (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - BEST PICTURE (Won)
Oscars - SOUND MIXING (Nominated)
Oscars - WRITING (Original Screenplay) (Won)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)",19,5,"Oscars - ACTOR IN A LEADING ROLE (Won)
Oscars - DIRECTING (Won)
Oscars - BEST PICTURE (Won)
Oscars - WRITING (Original Screenplay) (Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Won)","Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - SOUND MIXING (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)",
jungleland,"Adventure,Drama,Thriller",74%,47%,,0,0,,,
death of me,Drama,31%,23%,,0,0,,,
behind the burly q,"Documentary,History",77%,64%,,0,0,,,
rampart,Documentary,,,,0,0,,,
witness protection,"Comedy,Drama",,,"Golden Globes - Best Television Limited Series or Motion Picture Made for Television (Nominated)
Golden Globes - Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television (Nominated)",2,0,,"Golden Globes - Best Television Limited Series or Motion Picture Made for Television (Nominated)
Golden Globes - Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television (Nominated)",
sherlock holmes: a game of shadows,"Action,Adventure,Mystery",60%,77%,,0,0,,,"$535,663,443"
walking with the enemy,"Action,Drama,History",44%,59%,,0,0,,,
the lottery,"Documentary,Drama,News",,,,0,0,,,
sweetgrass,"Adventure,Documentary,Western",97%,65%,,0,0,,,
the host,"Action,Adventure,Drama",10%,50%,,0,0,,,"$64,477,051"
barbie,"Adventure,Comedy,Fantasy",88%,83%,"Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - MUSIC (Original Song) (Nominated)
Oscars - MUSIC (Original Song) (Won)
Oscars - BEST PICTURE (Nominated)
Oscars - PRODUCTION DESIGN (Nominated)
Oscars - WRITING (Adapted Screenplay) (Nominated)",8,1,Oscars - MUSIC (Original Song) (Won),"Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - COSTUME DESIGN (Nominated)
Oscars - MUSIC (Original Song) (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - PRODUCTION DESIGN (Nominated)
Oscars - WRITING (Adapted Screenplay) (Nominated)","$1,444,459,229"
the oogieloves in the big balloon adventure,"Adventure,Family,Fantasy",32%,62%,,0,0,,,
summering,Drama,33%,40%,,0,0,,,
blonde,Action,42%,36%,Oscars - ACTRESS IN A LEADING ROLE (Nominated),1,0,,Oscars - ACTRESS IN A LEADING ROLE (Nominated),
the vatican tapes,"Horror,Thriller",20%,58%,,0,0,,,
murder mystery 2,"Action,Adventure,Comedy",45%,46%,,0,0,,,
magic camp,"Documentary,Family",100%,75%,,0,0,,,
emily the criminal,"Crime,Drama,Mystery",94%,79%,,0,0,,,
palm trees and power lines,Drama,90%,77%,,0,0,,,
pain hustlers,"Crime,Drama",23%,64%,,0,0,,,
the dig,Adventure,75%,82%,,0,0,,,
exodus: gods and kings,"Action,Adventure,Drama",31%,35%,,0,0,,,"$268,314,513"
daddy's home,"Comedy,Family",,20%,,0,0,,,
the curse of bridge hollow,"Adventure,Comedy,Family",46%,53%,,0,0,,,
biosphere,"Comedy,Drama,Fantasy",80%,62%,,0,0,,,
byzantium,"Drama,Fantasy,Horror",66%,51%,,0,0,,,
beginners,"Comedy,Drama,Romance",86%,77%,"Oscars - ACTOR IN A SUPPORTING ROLE (Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Won)",2,2,"Oscars - ACTOR IN A SUPPORTING ROLE (Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Won)",,
battle of the year,"Drama,Music",6%,49%,,0,0,,,
good mourning,Comedy,0%,57%,,0,0,,,
scalpel,"Horror,Thriller",,33%,,0,0,,,
somebody i used to know,"Comedy,Romance",69%,60%,,0,0,,,
raymond & ray,"Comedy,Drama",48%,55%,,0,0,,,
after everything,"Drama,Romance",84%,71%,,0,0,,,
marcel the shell with shoes on,"Animation,Comedy,Drama",98%,90%,Oscars - ANIMATED FEATURE FILM (Nominated),1,0,,Oscars - ANIMATED FEATURE FILM (Nominated),
rider,"Action,Drama",,,,0,0,,,
beyond the black rainbow,"Horror,Mystery,Sci-Fi",61%,53%,,0,0,,,
master gardener,"Drama,Mystery,Thriller",71%,55%,,0,0,,,
tiger eyes,Documentary,63%,53%,,0,0,,,
captain phillips,"Action,Biography,Crime",93%,89%,"Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - SOUND EDITING (Nominated)
Oscars - SOUND MIXING (Nominated)
Oscars - WRITING (Adapted Screenplay) (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)",10,0,,"Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - SOUND EDITING (Nominated)
Oscars - SOUND MIXING (Nominated)
Oscars - WRITING (Adapted Screenplay) (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)","$220,648,184"
vacation friends 2,"Action,Adventure,Comedy",19%,39%,,0,0,,,
adalynn,"Drama,Horror,Mystery",80%,67%,,0,0,,,
the divide,"Drama,Horror,Sci-Fi",75%,,,0,0,,,
paranormal activity 2,"Horror,Mystery",57%,48%,,0,0,,,"$177,512,032"
the mortal instruments: city of bones,"Action,Adventure,Fantasy",13%,58%,,0,0,,,"$75,965,567"
justin bieber: our world,"Documentary,Music",57%,86%,,0,0,,,
my name is nobody,Drama,100%,84%,,0,0,,,
corrective measures,"Action,Sci-Fi",60%,27%,,0,0,,,
the taking,Documentary,,,,0,0,,,
blair witch,"Horror,Mystery,Thriller",38%,31%,,0,0,,,"$38,985,577"
the loft,"Comedy,Drama,Fantasy",14%,37%,,0,0,,,
127 hours,"Biography,Drama",93%,85%,"Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - MUSIC (Original Song) (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - WRITING (Adapted Screenplay) (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)",9,0,,"Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - FILM EDITING (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - MUSIC (Original Song) (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - WRITING (Adapted Screenplay) (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)","$60,217,171"
carancho,"Crime,Drama,Romance",88%,72%,,0,0,,,
jules,"Comedy,Drama,Sci-Fi",85%,90%,,0,0,,,
the snowman,Documentary,,,Oscars - SHORT FILM (Animated) (Nominated),1,0,,Oscars - SHORT FILM (Animated) (Nominated),"$43,033,661"
the heist,"Adult,Crime",,,,0,0,,,
divinity,"Sci-Fi,Thriller",59%,63%,,0,0,,,
judy moody and the not bummer summer,"Comedy,Family",21%,41%,,0,0,,,
premium rush,"Action,Thriller",75%,60%,,0,0,,,"$31,393,201"
waitress: the musical,"Comedy,Drama,Musical",100%,98%,,0,0,,,
teen wolf: the movie,"Action,Drama,Fantasy",32%,65%,,0,0,,,
12th & delaware,"Documentary,Drama",,88%,,0,0,,,
another earth,"Drama,Mystery,Romance",66%,66%,,0,0,,,
adaptation,Thriller,,,"Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE (Won)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - WRITING (Adapted Screenplay) (Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Won)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)",10,3,"Oscars - ACTOR IN A SUPPORTING ROLE (Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture (Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture (Won)","Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)
Oscars - WRITING (Adapted Screenplay) (Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Director - Motion Picture (Nominated)
Golden Globes - Best Screenplay - Motion Picture (Nominated)","$32,531,756"
happiness for beginners,"Comedy,Drama,Romance",33%,53%,,0,0,,,
the last days of american crime,"Action,Crime,Drama",0%,22%,,0,0,,,
country strong,"Drama,Music",22%,53%,"Oscars - MUSIC (Original Song) (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)",2,0,,"Oscars - MUSIC (Original Song) (Nominated)
Golden Globes - Best Original Song - Motion Picture (Nominated)","$20,601,987"
mary queen of scots,"Biography,Drama,History",62%,41%,"Oscars - COSTUME DESIGN (Nominated)
Oscars - MAKEUP AND HAIRSTYLING (Nominated)
BAFTAs - Film | Costume Design in 2019 (Nominated)
BAFTAs - Film | Make Up and Hair in 2019 (Nominated)",4,0,,"Oscars - COSTUME DESIGN (Nominated)
Oscars - MAKEUP AND HAIRSTYLING (Nominated)
BAFTAs - Film | Costume Design in 2019 (Nominated)
BAFTAs - Film | Make Up and Hair in 2019 (Nominated)","$48,481,754"
restrepo,"Biography,Documentary,History",96%,88%,Oscars - DOCUMENTARY (Feature) (Nominated),1,0,,Oscars - DOCUMENTARY (Feature) (Nominated),
zombieland: double tap,"Action,Comedy,Horror",68%,88%,,0,0,,,"$125,213,018"
the master,"Drama,History",,,"Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)",3,0,,"Oscars - ACTOR IN A LEADING ROLE (Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE (Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE (Nominated)","$29,044,338"
stonewall uprising,"Documentary,History",84%,77%,,0,0,,,
dolphin tale,"Drama,Family",81%,80%,,0,0,,,"$96,068,724"
just go with it,"Comedy,Romance",19%,59%,,0,0,,,"$214,974,953"
star wars: the rise of skywalker,"Comedy,Sci-Fi",51%,86%,"Oscars - MUSIC (Original Score) (Nominated)
Oscars - SOUND EDITING (Nominated)
Oscars - VISUAL EFFECTS (Nominated)",3,0,,"Oscars - MUSIC (Original Score) (Nominated)
Oscars - SOUND EDITING (Nominated)
Oscars - VISUAL EFFECTS (Nominated)","$1,069,951,814"
knock at the cabin,"Horror,Mystery,Thriller",67%,63%,,0,0,,,"$54,712,735"
joan rivers: a piece of work,"Biography,Comedy,Documentary",93%,82%,,0,0,,,
the tillman story,"Biography,Documentary,Mystery",94%,91%,,0,0,,,
man on a ledge,"Action,Crime,Thriller",31%,52%,,0,0,,,"$49,621,440"
the humbling,"Comedy,Drama,Romance",53%,28%,,0,0,,,
the girl with the dragon tattoo,"Crime,Drama,Mystery",86%,86%,,0,0,,,
it lives inside,"Drama,Horror,Thriller",,,,0,0,,,
war horse,"Adventure,Drama,War",75%,74%,"Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - SOUND EDITING (Nominated)
Oscars - SOUND MIXING (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)",8,0,,"Oscars - ART DIRECTION (Nominated)
Oscars - CINEMATOGRAPHY (Nominated)
Oscars - MUSIC (Original Score) (Nominated)
Oscars - BEST PICTURE (Nominated)
Oscars - SOUND EDITING (Nominated)
Oscars - SOUND MIXING (Nominated)
Golden Globes - Best Motion Picture - Drama (Nominated)
Golden Globes - Best Original Score - Motion Picture (Nominated)","$156,815,529"
celine: through the eyes of the world,"Documentary,Music",33%,78%,,0,0,,,
a dangerous method,"Biography,Drama,Romance",79%,50%,,0,0,,,
mortal engines,"Action,Adventure,Fantasy",26%,48%,,0,0,,,"$85,481,904"
the skeleton twins,"Comedy,Drama,Romance",86%,69%,,0,0,,,
boycott,Documentary,,75%,,0,0,,,
countdown to zero,Documentary,80%,72%,,0,0,,,
darby and the dead,"Comedy,Drama,Fantasy",54%,74%,,0,0,,,
you hurt my feelings,"Comedy,Drama,Romance",,100%,,0,0,,,
the dilemma,"Comedy,Drama",24%,29%,,0,0,,,"$70,546,865"
elemental,"Adventure,Animation,Comedy",100%,60%,Oscars - ANIMATED FEATURE FILM (Nominated),1,0,,Oscars - ANIMATED FEATURE FILM (Nominated),"$484,829,737"
helen's dead,"Comedy,Drama,Mystery",17%,,,0,0,,,
chasing ice,"Biography,Documentary",96%,85%,Oscars - MUSIC (Original Song) (Nominated),1,0,,Oscars - MUSIC (Original Song) (Nominated),
repeaters,"Action,Crime,Drama",20%,33%,,0,0,,,
king's man,Drama,,,,0,0,,,
house at the end of the street,"Drama,Horror,Mystery",12%,41%,,0,0,,,"$44,103,982"
the locksmith,"Action,Crime,Mystery",,,,0,0,,,
larry crowne,"Comedy,Drama,Romance",37%,41%,,0,0,,,"$61,449,135"
g.i. joe: retaliation,"Action,Adventure,Sci-Fi",29%,48%,,0,0,,,"$375,740,705"
rare objects,Drama,40%,69%,,0,0,,,
wrong place,"Action,Crime,Thriller",0%,53%,,0,0,,,
diary of a wimpy kid: rodrick rules,"Animation,Comedy,Drama",50%,47%,,0,0,,,"$73,695,194"
what to expect when you're expecting,"Comedy,Drama,Romance",23%,47%,,0,0,,,"$88,473,016"
maleficent,"Action,Adventure,Drama",54%,70%,Oscars - COSTUME DESIGN (Nominated),1,0,,Oscars - COSTUME DESIGN (Nominated),"$758,536,735"
